gene_name,baseMean,log2FoldChange,lfcSE,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB10,26.185169219970703,-0.9518675208091736,0.39425143599510193,0.1270628422498703,1682,3407,Isocorydine,0.05000000074505806,SW1417,4
PSMB5,59.155181884765625,-0.2271237075328827,0.1892695426940918,0.5195428729057312,1239,3407,L-Thyroxine (sodium salt pentahydrate),0.05000000074505806,SW1417,4
PSMB7,203.96478271484375,-0.16526348888874054,0.1027040034532547,0.3510114252567291,1239,3407,L-Thyroxine (sodium salt pentahydrate),0.05000000074505806,SW1417,4
PSMB9,38.13666534423828,-0.28987741470336914,0.3575794994831085,0.6978201866149902,1239,3407,L-Thyroxine (sodium salt pentahydrate),0.05000000074505806,SW1417,4
PSMB5,71.23272705078125,-0.2272055745124817,0.3593156337738037,0.7545676231384277,1646,3407,Larotrectinib,0.05000000074505806,SW1417,4
PSMB6,57.038047790527344,-0.3182004690170288,0.19544252753257751,0.31976354122161865,1646,3407,Larotrectinib,0.05000000074505806,SW1417,4
PSMB8,38.62662887573242,-0.14142447710037231,0.30632394552230835,0.8284434080123901,1646,3407,Larotrectinib,0.05000000074505806,SW1417,4
PSMB10,30.57142448425293,-0.3155028223991394,0.28588932752609253,0.5443730354309082,1646,3407,Larotrectinib,0.05000000074505806,SW1417,4
PSMB7,174.0934600830078,-0.1018245667219162,0.11623616516590118,0.7199388146400452,1142,3407,Lenalidomide (hemihydrate),0.05000000074505806,SW1417,4
PSMB8,23.808462142944336,-0.2617934048175812,0.2976277470588684,0.7180471420288086,1142,3407,Lenalidomide (hemihydrate),0.05000000074505806,SW1417,4
PSMB9,36.89134979248047,0.227332204580307,0.23950570821762085,0.6913904547691345,1142,3407,Lenalidomide (hemihydrate),0.05000000074505806,SW1417,4
PSMB5,35.903656005859375,0.23632290959358215,0.29393768310546875,0.6929062604904175,457,3407,Lidocaine (hydrochloride),0.05000000074505806,SW1417,4
PSMB5,66.06319427490234,-0.3446504771709442,0.19514553248882294,0.33403003215789795,1709,3407,Lipoic acid,0.05000000074505806,SW1417,4
PSMB6,57.227481842041016,0.18213467299938202,0.19812002778053284,0.6817927956581116,1709,3407,Lipoic acid,0.05000000074505806,SW1417,4
PSMB8,39.57988739013672,0.4036080539226532,0.2570575177669525,0.4087107479572296,1709,3407,Lipoic acid,0.05000000074505806,SW1417,4
PSMB10,27.003887176513672,-0.409867525100708,0.34319376945495605,0.5626108050346375,1709,3407,Lipoic acid,0.05000000074505806,SW1417,4
PSMB7,245.96630859375,0.0715218186378479,0.0962832123041153,0.7479740381240845,1802,3407,Lumateperone (tosylate),0.05000000074505806,SW1417,4
