line,drug,conc,plate,is_proteasome,lfc_b6,lfc_b5,lfc_b1,base_b6,base_b5,base_b1,padj_b6,padj_b5,padj_b1,spread,lowest,highest,induced,fdr_ok,N_eff,first_b1,first_b5,first_b6,base_rank_lowest
SW1417,EX229,0.5,2,False,0.2220810353755951,0.4584193527698517,0.6707151532173157,261.0954284667969,103.84490966796876,78.83880615234375,0.1283370554447174,0.0166341979056596,0.0002784281386993,0.4486341178417206,b6,b1,True,False,5.916617301175379,0.3852230285270899,0.33251009678713545,0.2822668746857746,3
SHP-77,Ornidazole,5.0,13,False,-0.320532351732254,0.1280242949724197,0.0458574779331684,164.68161010742188,99.82967376708984,96.9429168701172,0.1836325824260711,0.745621919631958,0.9395740032196044,0.44855664670467366,b6,b5,False,False,5.90545316491377,0.3528173153409502,0.3734948067749493,0.2736878778841005,3
CFPAC-1,Aliskiren,0.5,5,False,0.0559986382722854,-0.3135958313941955,0.1349247843027115,268.142578125,87.060302734375,45.85043716430664,0.8099597692489624,0.2591657042503357,0.8005301356315613,0.448520615696907,b5,b1,False,False,5.9049582964994665,0.37319615794060834,0.27347586522533496,0.3533279768340567,2
HS-578T,Tirabrutinib (hydrochloride),5.0,12,False,-0.1185937523841857,0.0516554601490497,-0.3967413902282715,183.05918884277344,64.49620056152344,71.59906005859375,0.6378379464149475,0.9187995195388794,0.2629764080047607,0.4483968503773212,b1,b5,False,False,5.9150911453656265,0.2795513729778322,0.3814543145751824,0.3389943124469854,2
RKO,Resveratrol,5.0,6,False,0.02634415961802,-0.3701411485671997,-0.4220250844955444,198.1224670410156,125.09484100341795,94.18975067138672,0.911230444908142,0.1679873168468475,0.0423153080046176,0.4483692441135644,b1,b6,False,False,5.901190765455436,0.2940212493756923,0.30478763195690634,0.4011911186674012,1
SW1417,TAK-901,0.5,2,False,0.5598713755607605,0.5219311714172363,0.9702181816101074,195.3524169921875,72.06989288330078,61.996803283691406,0.0003164644003845,0.0239130053669214,0.0001970155863091,0.4482870101928711,b5,b1,True,True,5.8985617877087515,0.4023570021138051,0.29489249974569776,0.30275049814049715,2
CFPAC-1,Epirubicin (hydrochloride),0.5,8,False,-0.1334651559591293,-0.1643575727939605,-0.5817160606384277,266.6911315917969,96.53179168701172,52.53502655029297,0.6530391573905945,0.6218917965888977,0.100158080458641,0.4482509046792984,b1,b6,False,False,5.896205452909067,0.27028011662090656,0.3609537195052084,0.36876616387388517,1
SW1417,Trifluridine,0.5,5,False,-0.2858108878135681,0.1623996794223785,0.134230837225914,167.36135864257812,85.47238159179688,75.12632751464844,0.1679479777812957,0.7046405673027039,0.7398374676704407,0.44821056723594666,b6,b5,False,False,5.895648264406218,0.3613865648551171,0.3685120295506815,0.27010140559420137,3
CFPAC-1,Allantoin,0.050000000745058,4,False,-0.2262831777334213,-0.6744680404663086,-0.5849392414093018,131.3992919921875,48.93999481201172,21.42314720153809,0.3419005572795868,0.0358664095401763,0.2980738878250122,0.44818486273288727,b5,b6,False,False,5.907427884860872,0.31036040034756707,0.29168590902852015,0.39795369062391267,2
COLO 205,Clopidogrel,0.5,11,False,0.4334187805652618,0.1128643453121185,0.5610110759735107,47.655460357666016,29.848630905151367,23.57615089416504,0.4551870226860046,0.9036458134651184,0.4830147325992584,0.4481467306613922,b5,b1,True,False,5.911604363867925,0.3775947883818749,0.276770872662525,0.3456343389556001,2
SHP-77,Procainamide (hydrochloride),5.0,9,False,-0.0293650925159454,-0.1771342754364013,-0.4774968326091766,62.08855819702149,52.99893569946289,40.83975982666016,0.9790839552879332,0.854565441608429,0.606286883354187,0.4481317400932312,b1,b6,False,False,5.913551241554634,0.2781079341011239,0.34247708493086265,0.3794149809680134,1
SW480,Fostamatinib (disodium hexahydrate),5.0,13,False,0.2112469226121902,-0.2367274165153503,0.1670914888381958,413.2263488769531,139.74029541015625,186.8492431640625,0.0413545221090316,0.3227831423282623,0.3798674941062927,0.4479743391275405,b5,b6,False,False,5.899027456410238,0.35881722173175307,0.2712137326685534,0.36996904559969357,1
HCT15,Cytarabine,0.050000000745058,13,False,-0.2840009927749634,0.1638425141572952,-0.2796222269535064,149.16107177734375,51.15410232543945,38.1159553527832,0.3293047547340393,0.8531700968742371,0.7608501315116882,0.4478435069322586,b6,b5,False,False,5.891504155276211,0.2978995961012534,0.405103600815603,0.2969968030831437,3
CFPAC-1,Capmatinib,0.5,2,False,-0.222955048084259,-0.0161139052361249,0.2247506827116012,308.0498352050781,121.7826919555664,44.6850700378418,0.0878464505076408,0.9628914594650269,0.6072571277618408,0.4477057307958602,b6,b1,False,False,5.916955545518031,0.38768015454262816,0.32806968683152304,0.2842501586258488,3
SW 900,Aliskiren,0.050000000745058,4,False,0.2041197121143341,-0.0800702348351478,-0.2435656189918518,79.57523345947266,38.15066909790039,27.665712356567383,0.6294182538986206,0.9254190325737,0.7692435383796692,0.4476853311061859,b1,b6,False,False,5.915258816879984,0.28703895150814585,0.3214828796087234,0.39147816888313064,1
RKO,Lumateperone (tosylate),0.050000000745058,4,False,0.0327316373586654,-0.0085870865732431,-0.4149380028247833,124.79132080078124,72.86756896972656,59.2195930480957,0.9377713203430176,0.9896127581596376,0.4186360239982605,0.44766964018344874,b1,b6,False,False,5.898608540529164,0.2710640598565281,0.35924915329853213,0.36968678684493983,1
HT-29,Rosiglitazone,0.5,8,False,0.1626680791378021,0.5568455457687378,0.1091933697462081,195.00131225585935,34.76503372192383,55.184356689453125,0.3987026810646057,0.1736807972192764,0.8034088611602783,0.4476521760225297,b1,b5,True,False,5.901805591347003,0.2939810032413055,0.40093687425618835,0.3050821225025062,2
PANC-1,Bentamapimod,0.5,2,False,0.3350838124752044,0.2413815706968307,0.6889990568161011,839.2338256835938,170.01324462890625,215.67083740234375,1.4762707678528386e-07,0.3579350411891937,5.759186877396516e-11,0.4476174861192704,b5,b1,True,False,5.908260801346243,0.3975020155078871,0.2914694524818018,0.311028532010311,1
SHP-77,Topotecan (hydrochloride),0.050000000745058,7,False,0.1814578622579574,0.4351318180561065,-0.0123623181134462,63.82550048828125,60.358768463134766,67.5916976928711,0.7399584650993347,0.3398477435111999,0.99340558052063,0.4474941361695527,b1,b5,False,False,5.916738086814986,0.285106764141803,0.38879142602813854,0.32610180983005843,3
HCT15,Zileuton,5.0,12,False,-0.2032107263803482,0.2442699521780014,0.0193522106856107,163.94891357421875,63.98597717285156,49.63374710083008,0.5487286448478699,0.6563562750816345,0.9888893365859984,0.4474806785583496,b6,b5,False,False,5.917151431934819,0.330496334590362,0.3862545727996823,0.2832490926099558,3
RKO,Infigratinib,5.0,3,False,-0.2096252292394638,-0.4711017310619354,-0.0236655436456203,56.277469635009766,35.71158981323242,24.566747665405273,0.7341041564941406,0.5061745047569275,0.9862340092658995,0.44743618741631513,b5,b1,False,False,5.9162904339774105,0.38278844688060604,0.2807159620115305,0.3364955911078635,2
SW480,Ouabain (Octahydrate),0.050000000745058,10,False,0.4937440454959869,0.0463129542768001,0.3448706269264221,558.6533203125,207.30172729492188,303.5478210449219,2.2999348259222782e-10,0.748795211315155,0.0062317177653312,0.4474310912191868,b5,b6,True,False,5.913930001904377,0.34225849832426447,0.2782783538460518,0.3794631478296838,1
HT-29,Benztropine (mesylate),0.050000000745058,10,False,-0.0410113856196403,-0.4884305894374847,-0.0630760639905929,164.04078674316406,36.248538970947266,41.95567321777344,0.9187921285629272,0.3586332499980926,0.9255260825157166,0.4474192038178444,b5,b6,False,False,5.894703395169201,0.36231000060393065,0.2697962138683157,0.36789378552775365,1
AsPC-1,Dabrafenib,0.050000000745058,1,False,-0.2513047456741333,-0.52962726354599,-0.0822115689516067,122.2303237915039,37.304168701171875,40.64292907714844,0.2384582906961441,0.1379655450582504,0.8654078841209412,0.4474156945943833,b5,b1,False,False,5.915408498472341,0.3812781909431153,0.27961239523332426,0.3391094138235603,1
SW480,AZD-8055,0.050000000745058,1,False,0.072351150214672,-0.1929936110973358,-0.3750491738319397,437.0709838867187,199.61001586914065,222.1590118408203,0.6766476631164551,0.2100930958986282,0.0157993733882904,0.4474003240466117,b1,b6,False,False,5.916348202791902,0.2858710980007583,0.3243205254770658,0.38980837652217604,2
