Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,Almonertinib (hydrochloride),5.0,6,b1,0.18019389361143112,0.26029996612636397,0.6922547716504698,0.48877734781697035,0.813801861334408
A549,Almonertinib (hydrochloride),5.0,14,b1,-0.7755916565656662,0.525678279800553,-1.4754112664878078,0.140102008200736,0.5207596423950475
A549,Almonertinib (mesylate),0.050000000745058,7,b1,-0.45317062735557556,0.5137615238211444,-0.8820641607901679,0.3777421117476103,0.7477588297049703
A549,Almonertinib (mesylate),0.050000000745058,13,b1,0.06853279471397401,0.3791297376608505,0.18076343770026249,0.856553262769764,0.9628842392103385
A549,Almonertinib (mesylate),0.5,8,b1,-0.011654689908027593,0.29688566917389464,-0.03925649203768438,0.9686858941811646,0.9928671201492918
A549,Almonertinib (mesylate),0.5,13,b1,0.3746180944144726,0.3843991827886664,0.9745548668880203,0.3297811105684021,0.7145166919354753
A549,Almonertinib (mesylate),5.0,9,b1,-0.91952882707119,0.33059373582388174,-2.7814466138615934,0.005411723064115422,0.11204271692529341
A549,Almonertinib (mesylate),5.0,13,b1,-0.5980923343449831,0.48910663203778576,-1.2228260570770133,0.22139540147293824,0.6184837666153739
A549,Alpelisib,0.050000000745058,1,b1,0.5094898045063019,0.31518875356623555,1.616459339813452,0.10599503760164158,0.46434906607269333
A549,Alpelisib,0.5,2,b1,0.029013872146606515,0.2413828256964087,0.12019857694058879,0.904325845040706,0.976817412961025
A549,Alpelisib,5.0,3,b1,0.7764481976628304,0.39717085959048515,1.954947546915729,0.050589261703429485,0.33838847203868744
A549,Altretamine,0.050000000745058,7,b1,-0.284732460975647,0.4469064314860511,-0.6371187365302754,0.5240475049863222,0.831370545233566
A549,Altretamine,0.5,8,b1,0.061855435371398926,0.34737999968609296,0.17806274232049651,0.8586737017061322,0.9635633795316842
A549,Altretamine,5.0,9,b1,-1.032891571521759,0.4747231760299559,-2.175776586598716,0.029571970228246,0.26563205089931435
A549,Amsacrine,0.050000000745058,4,b1,-0.05117496848106384,0.2828993245268649,-0.18089462944689402,0.8564502843916747,0.9628608336151006
A549,Amsacrine,0.5,5,b1,0.0543501023203133,0.23072067421257625,0.235566676050181,0.8137689344379222,0.9493336251772283
A549,Amsacrine,5.0,6,b1,0.3679287238046528,0.2554814266319059,1.4401388337899,0.14982812414866245,0.5342352295034012
A549,Amsacrine,5.0,14,b1,-0.24368440359830848,0.4966341169327564,-0.49067189564687724,0.6236585271447891,0.8782688217910086
A549,Anastrozole,0.050000000745058,1,b1,0.5630439817905426,0.24308602079089944,2.3162334878765747,0.020545523673515535,0.22378901622236394
A549,Anastrozole,0.5,2,b1,-0.043395048007369,0.20649220184724754,-0.21015344705109232,0.8335479120345262,0.9557345864199344
A549,Anastrozole,5.0,3,b1,-0.688045024871826,0.4685009620820093,-1.4686096306273675,0.14193870119184732,0.5232701080987555
A549,Anethole trithione,0.050000000745058,4,b1,-0.19498157501220703,0.2868739399029,-0.6796768471831344,0.4967090991666153,0.8176558199058352
A549,Anethole trithione,0.5,5,b1,-0.13157302141189575,0.2527229079729524,-0.5206216661054618,0.6026303531822712,0.8681818652470644
A549,Anethole trithione,5.0,6,b1,0.06755667924880981,0.22467817902196868,0.30068197785332873,0.7636570127857676,0.9319342155594792
A549,Anethole trithione,5.0,14,b1,0.6321163997054101,0.4557982191747534,1.3868338512815825,0.16549243225734844,0.5555831376090696
A549,Apalutamide,0.050000000745058,7,b1,-0.1054109707474709,0.35244890326052875,-0.2990815683416996,0.7648778093321671,0.9324255666183195
A549,Apalutamide,0.5,8,b1,0.29218633368145674,0.3056757108245161,0.9558703008928197,0.33913776526092654,0.7216245281430613
A549,Apalutamide,5.0,9,b1,0.4319061934947968,0.386174671363346,1.1184218580933878,0.2633868631894898,0.6604818408765726
A549,Aprepitant,0.050000000745058,10,b1,0.06632768362760541,0.308463823929696,0.21502581010187627,0.8297471956422322,0.954577439929927
A549,Aprepitant,0.5,11,b1,-0.5440990775823593,0.3156630550246737,-1.7236704420155537,0.08476735391696485,0.4218022442383604
A549,Aprepitant,5.0,12,b1,0.3868420720100403,0.309480545968948,1.2499721777305333,0.21130971093458517,0.6079325128700414
A549,Arbutin,0.050000000745058,7,b1,0.14963411912322028,0.42186150320654625,0.35469963005834737,0.7228146281131612,0.9173610722987483
A549,Arbutin,0.5,8,b1,-0.0879326611757279,0.3555390307509757,-0.24732210410203068,0.8046589534517155,0.9461870136749312
A549,Arbutin,5.0,9,b1,-0.2624639421701432,0.4333481349334795,-0.6056653323555491,0.5447370092364335,0.8412616085406049
A549,Artemether,0.050000000745058,10,b1,-0.4925916790962219,0.26538101045548984,-1.8561677727082144,0.06342964809685588,0.37486140123107387
A549,Artemether,0.5,11,b1,0.0225159879773855,0.3312398529134219,0.06797487614894768,0.945805633943237,0.9869654842721173
A549,Artemether,5.0,12,b1,-0.4174903854727744,0.287715861393142,-1.4510509898594202,0.14676566225458634,0.5291686899111018
A549,Artesunate,0.050000000745058,4,b1,0.32871830463409424,0.2965702867512993,1.1083993215738228,0.2676893977814332,0.6650631064844682
A549,Artesunate,0.5,5,b1,-0.0699041038751602,0.252942304401318,-0.2763638294535754,0.7822686351637695,0.9387239923984555
A549,Artesunate,5.0,6,b1,0.004925993969664,0.24826136917768166,0.0198419673023653,0.9841694393985945,0.9964463126937021
A549,Artesunate,5.0,14,b1,0.009690642356872559,0.44053158366650097,0.02199761087779064,0.9824498613211964,0.9962808928626966
A549,Asciminib,0.050000000745058,10,b1,-1.139179952442646,0.4898146001125889,-2.3257370282159693,0.020032583843539564,0.22061929363316593
A549,Asciminib,0.5,11,b1,-0.5076690055429935,0.2782266109080589,-1.8246601354417347,0.06805233255618207,0.3877306452788726
A549,Asciminib,5.0,12,b1,-1.3583664894104004,0.41006147476043076,-3.312592313637841,0.000924356149636335,0.0382026755293173
A549,Aspirin,0.050000000745058,10,b1,-0.1421053288504481,0.30279460795398033,-0.4693126136250277,0.6388462005085012,0.8849953457164528
A549,Aspirin,0.5,11,b1,-0.2382207959890366,0.3004130275860723,-0.7929775812428214,0.4277908845691216,0.7805362934379346
A549,Aspirin,5.0,12,b1,-0.23371374607086187,0.33249456602468314,-0.7029099719287197,0.48211185629201814,0.8105951013612006
A549,Ataluren,0.050000000745058,10,b1,-0.23107832670211792,0.383778826115769,-0.6021132771728576,0.5470987371734611,0.8424406916832804
A549,Ataluren,0.5,11,b1,-0.1117806136608123,0.2940995185352117,-0.3800775132769526,0.7038878772922408,0.9107529892019763
A549,Ataluren,5.0,12,b1,-0.3222208768129348,0.3002179087388308,-1.0732899918147292,0.28314102421385334,0.6784225606396042
A549,Atazanavir (sulfate),0.050000000745058,10,b1,0.12542295455932623,0.2875489097456085,0.43617955175099293,0.6627064627292771,0.8955039967367715
A549,Atazanavir (sulfate),0.5,11,b1,0.07605040073394781,0.34736616614727667,0.21893439299929943,0.8267011545756277,0.9535458939320375
A549,Atazanavir (sulfate),5.0,12,b1,-0.4263544976711273,0.2960397401191953,-1.440193460173499,0.1498126729533914,0.5342155868398404
A549,Auranofin,0.050000000745058,10,b1,0.32523423433303833,0.3715871448077787,0.8752569589060497,0.3814341075136569,0.7506536329514736
A549,Auranofin,0.5,11,b1,-0.1054278612136841,0.34962039679933743,-0.3015495153567765,0.7629954982118464,0.9317380742769352
