gene_name,baseMean,log2FoldChange,padj,n_cells_trt,n_cells_ctrl,drug,concentration,concentration_unit,Cell_Name_Vevo,plate
PSMB5,64.08594,-0.033079557,0.9679346,1306,4862,LY-2584702 (tosylate salt),0.05,uM,A549,1
PSMB6,69.8093,-0.2147153,0.61763763,1306,4862,LY-2584702 (tosylate salt),0.05,uM,A549,1
PSMB1,96.6609,-0.010404788,0.9845386,1706,4862,Lapatinib ditosylate,0.05,uM,A549,1
PSMB5,70.4773,-0.13009058,0.870243,1706,4862,Lapatinib ditosylate,0.05,uM,A549,1
PSMB6,87.04014,-0.019346556,0.97344303,1706,4862,Lapatinib ditosylate,0.05,uM,A549,1
PSMB1,111.29386,-0.17526267,0.63761276,2485,4862,Lonafarnib,0.05,uM,A549,1
PSMB5,87.372955,0.11184055,0.8121254,2485,4862,Lonafarnib,0.05,uM,A549,1
PSMB6,113.86576,0.016471522,0.97689337,2485,4862,Lonafarnib,0.05,uM,A549,1
PSMB1,100.42708,0.13507178,0.6607553,1394,4862,MK-3903,0.05,uM,A549,1
PSMB5,63.21938,-0.21485782,0.48237997,1394,4862,MK-3903,0.05,uM,A549,1
PSMB6,81.086655,-0.51934916,0.022365475,1394,4862,MK-3903,0.05,uM,A549,1
PSMB1,93.746506,-0.102127455,0.7739074,1875,4862,MK-8353,0.05,uM,A549,1
PSMB5,72.312065,0.0050444654,0.9940708,1875,4862,MK-8353,0.05,uM,A549,1
PSMB6,81.33258,-0.23820084,0.5659559,1875,4862,MK-8353,0.05,uM,A549,1
PSMB1,92.32889,-0.06366739,0.8688896,1409,4862,ML264,0.05,uM,A549,1
PSMB5,64.92775,-0.26260415,0.42777923,1409,4862,ML264,0.05,uM,A549,1
PSMB6,80.07613,-0.23721562,0.49767807,1409,4862,ML264,0.05,uM,A549,1
PSMB1,124.69886,-0.10625722,0.7281575,1811,4862,Minodronic acid,0.05,uM,A549,1
PSMB5,85.73202,-0.17568454,0.5632468,1811,4862,Minodronic acid,0.05,uM,A549,1
PSMB6,97.11507,-0.47075614,0.057709344,1811,4862,Minodronic acid,0.05,uM,A549,1
PSMB1,97.68675,0.025909837,0.9643293,1410,4862,NG25,0.05,uM,A549,1
PSMB5,61.705013,-0.1829495,0.72318035,1410,4862,NG25,0.05,uM,A549,1
PSMB6,87.282166,0.17155224,0.5999205,1410,4862,NG25,0.05,uM,A549,1
PSMB1,128.44695,-0.22260597,0.32172477,2128,4862,NVP-BHG712,0.05,uM,A549,1
PSMB5,81.975525,-0.38073885,0.17825417,2128,4862,NVP-BHG712,0.05,uM,A549,1
PSMB6,109.46824,-0.23016194,0.41059107,2128,4862,NVP-BHG712,0.05,uM,A549,1
PSMB1,79.97798,0.06899741,0.8549684,1523,4862,OTS514,0.05,uM,A549,1
PSMB5,64.22453,-0.09606622,0.8721611,1523,4862,OTS514,0.05,uM,A549,1
PSMB6,79.486305,0.039519675,0.926835,1523,4862,OTS514,0.05,uM,A549,1
PSMB1,115.534615,0.03915208,0.90991586,1658,4862,Oleic acid,0.05,uM,A549,1
PSMB5,79.47111,-0.30025074,0.3767821,1658,4862,Oleic acid,0.05,uM,A549,1
PSMB6,95.5436,-0.29310977,0.25432006,1658,4862,Oleic acid,0.05,uM,A549,1
PSMB1,115.127365,-0.09406025,0.7792319,2232,4862,Oxaliplatin,0.05,uM,A549,1
PSMB5,85.70508,-0.08913625,0.79418683,2232,4862,Oxaliplatin,0.05,uM,A549,1
PSMB6,97.536446,-0.30407095,0.2541536,2232,4862,Oxaliplatin,0.05,uM,A549,1
PSMB1,2.7666428,0.016712578,0.99564135,1,4862,PF-06260933,0.05,uM,A549,1
PSMB5,1.8515952,0.5959217,0.83663476,1,4862,PF-06260933,0.05,uM,A549,1
PSMB6,2.151681,0.37907967,0.89836055,1,4862,PF-06260933,0.05,uM,A549,1
PSMB1,113.16726,0.21811232,0.47390044,1956,4862,PH-797804,0.05,uM,A549,1
PSMB5,77.08304,-0.15581161,0.6684503,1956,4862,PH-797804,0.05,uM,A549,1
PSMB6,102.01092,0.034129515,0.9346008,1956,4862,PH-797804,0.05,uM,A549,1
